srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,type
1730436467,719036359,0,0,ICMP,1458298072364000.0,305.63599999999997,62,1736,background
1730436466,719036359,0,0,ICMP,1458298072364000.0,305.63599999999997,62,1736,background
3627282195,719036341,0,0,ICMP,1458298073000000.0,300.0,31,992,background
607268605,719036341,0,0,ICMP,1458298073004000.0,299.996,31,992,background
3628038305,719036341,0,0,ICMP,1458298073004000.0,299.996,31,992,background
2206870438,719036341,0,0,ICMP,1458298073008000.0,299.992,31,992,background
3383641220,719035195,0,0,GRE,1458298073120000.0,305.88,6501,565509,background
714257883,719036341,62058,54331,UDP,1458298073240000.0,305.76,9008,4362440,background
2968793991,719036242,46556,21,TCP,1458298073336000.0,305.664,204,12060,background
3564553392,719035635,38123,22002,TCP,1458298073360000.0,303.64,120,6528,background
1730436466,719036236,0,0,ICMP,1458298073560000.0,305.44,62,1736,background
3529379502,719036236,0,0,ICMP,1458298073568000.0,305.432,62,1736,background
2206889363,719036359,0,0,ICMP,1458298073604000.0,305.39599999999996,62,1736,background
618839282,719035635,36921,40004,TCP,1458298074120000.0,300.88,300,16664,background
621076693,719036249,161,63061,UDP,1458298074364000.0,304.63599999999997,521,78848,background
637342562,719036242,55980,8000,TCP,1458298074816000.0,300.184,61,2600,background
3543669261,719036341,0,0,ICMP,1458298074964000.0,300.036,31,992,background
3390628210,719036341,0,0,ICMP,1458298074964000.0,300.036,31,992,background
3493936132,719036341,0,0,ICMP,1458298074968000.0,300.032,31,992,background
3506382377,719036341,0,0,ICMP,1458298074976000.0,300.024,61,1952,background
621265703,719036341,161,50244,UDP,1458298075068000.0,305.932,375,42330,background
637342562,719036242,55982,8000,TCP,1458298075112000.0,299.888,61,2600,background
637342562,719036242,55987,8000,TCP,1458298075212000.0,299.788,61,2600,background
3681159974,719034490,1087,1494,TCP,1458298075340000.0,305.66,821,46630,background
3496940395,719036357,0,0,ICMP,1458298076008000.0,299.992,31,992,background
3496971745,719036357,0,0,ICMP,1458298076008000.0,299.992,31,992,background
637339568,719036357,0,0,ICMP,1458298076008000.0,299.992,31,992,background
2206985908,719036357,0,0,ICMP,1458298076012000.0,299.988,31,992,background
3494072368,719036357,0,0,ICMP,1458298076012000.0,299.988,31,992,background
613807286,719036357,0,0,ICMP,1458298076016000.0,299.9840000000001,31,992,background
3493891101,719036359,0,0,ICMP,1458298076276000.0,300.724,61,1708,background
3383203480,719036359,0,0,ICMP,1458298076712000.0,300.288,61,1708,background
1730436474,719036355,0,0,ICMP,1458298076764000.0,305.236,62,1736,background
3626638383,719036359,0,0,ICMP,1458298076840000.0,300.16,61,1708,background
3695744621,719036357,0,0,ICMP,1458298077780000.0,299.22,40,1280,background
707248946,719036341,8291,50781,TCP,1458298078040000.0,304.96,8091,9512317,background
3494153152,719035635,49259,50002,TCP,1458298078956000.0,300.0440000000001,31,1302,background
3542310812,719036341,0,0,ICMP,1458298079016000.0,299.9840000000001,31,992,background
3391812493,719036106,50595,443,TCP,1458298079916000.0,299.084,64,2692,background
3509763835,719036341,0,0,ICMP,1458298080012000.0,299.988,31,992,background
3542539964,719036341,0,0,ICMP,1458298080016000.0,299.9840000000001,61,1952,background
613807286,719036357,161,50084,UDP,1458298080064000.0,305.936,613,62189,background
3627879567,719036242,59128,8000,TCP,1458298080796000.0,300.204,31,2604,background
3109410939,719036255,14757,57043,UDP,1458298080996000.0,303.004,30,2430,background
3627788990,719035635,33092,22011,TCP,1458298081252000.0,296.748,60,3360,background
3383619895,719035635,34363,22002,TCP,1458298081536000.0,306.464,115,6230,background
3543447551,719034665,49176,443,TCP,1458298081576000.0,305.4240000000001,76,4695,background
3515300085,719036106,49304,443,TCP,1458298081800000.0,308.2,53,2120,background
